home_team,away_team,home_goals,away_goals,result,season,total_goals
Stoke City,Sunderland,0.0,0.0,D,2012-2013,0.0
Wigan Athletic,West Ham United,2.0,1.0,H,2012-2013,3.0
Manchester City,Swansea City,1.0,0.0,H,2012-2013,1.0
Everton,Liverpool,2.0,2.0,D,2012-2013,4.0
Newcastle United,West Bromwich Albion,2.0,1.0,H,2012-2013,3.0
Southampton,Tottenham Hotspur,1.0,2.0,A,2012-2013,3.0
Chelsea,Manchester United,2.0,3.0,A,2012-2013,5.0
Manchester United,Arsenal,2.0,1.0,H,2012-2013,3.0
Fulham,Everton,2.0,2.0,D,2012-2013,4.0
Norwich City,Stoke City,1.0,0.0,H,2012-2013,1.0
Sunderland,Aston Villa,0.0,1.0,A,2012-2013,1.0
Swansea City,Chelsea,1.0,1.0,D,2012-2013,2.0
Tottenham Hotspur,Wigan Athletic,0.0,1.0,A,2012-2013,1.0
West Ham United,Manchester City,0.0,0.0,D,2012-2013,0.0
Queens Park Rangers,Reading,1.0,1.0,D,2012-2013,2.0
Liverpool,Newcastle United,1.0,1.0,D,2012-2013,2.0
West Bromwich Albion,Southampton,2.0,0.0,H,2012-2013,2.0
Arsenal,Fulham,3.0,3.0,D,2012-2013,6.0
Everton,Sunderland,2.0,1.0,H,2012-2013,3.0
Reading,Norwich City,0.0,0.0,D,2012-2013,0.0
Southampton,Swansea City,1.0,1.0,D,2012-2013,2.0
Stoke City,Queens Park Rangers,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,West Bromwich Albion,1.0,2.0,A,2012-2013,3.0
Aston Villa,Manchester United,2.0,3.0,A,2012-2013,5.0
Manchester City,Tottenham Hotspur,2.0,1.0,H,2012-2013,3.0
Newcastle United,West Ham United,0.0,1.0,A,2012-2013,1.0
Chelsea,Liverpool,1.0,1.0,D,2012-2013,2.0
Arsenal,Tottenham Hotspur,5.0,2.0,H,2012-2013,7.0
Liverpool,Wigan Athletic,3.0,0.0,H,2012-2013,3.0
Manchester City,Aston Villa,5.0,0.0,H,2012-2013,5.0
Newcastle United,Swansea City,1.0,2.0,A,2012-2013,3.0
Queens Park Rangers,Southampton,1.0,3.0,A,2012-2013,4.0
Reading,Everton,2.0,1.0,H,2012-2013,3.0
West Bromwich Albion,Chelsea,2.0,1.0,H,2012-2013,3.0
Norwich City,Manchester United,1.0,0.0,H,2012-2013,1.0
Fulham,Sunderland,1.0,3.0,A,2012-2013,4.0
West Ham United,Stoke City,1.0,1.0,D,2012-2013,2.0
Sunderland,West Bromwich Albion,2.0,4.0,A,2012-2013,6.0
Everton,Norwich City,1.0,1.0,D,2012-2013,2.0
Manchester United,Queens Park Rangers,3.0,1.0,H,2012-2013,4.0
Stoke City,Fulham,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Reading,3.0,2.0,H,2012-2013,5.0
Aston Villa,Arsenal,0.0,0.0,D,2012-2013,0.0
Swansea City,Liverpool,0.0,0.0,D,2012-2013,0.0
Southampton,Newcastle United,2.0,0.0,H,2012-2013,2.0
Chelsea,Manchester City,0.0,0.0,D,2012-2013,0.0
Tottenham Hotspur,West Ham United,3.0,1.0,H,2012-2013,4.0
Sunderland,Queens Park Rangers,0.0,0.0,D,2012-2013,0.0
Aston Villa,Reading,1.0,0.0,H,2012-2013,1.0
Chelsea,Fulham,0.0,0.0,D,2012-2013,0.0
Everton,Arsenal,1.0,1.0,D,2012-2013,2.0
Southampton,Norwich City,1.0,1.0,D,2012-2013,2.0
Stoke City,Newcastle United,2.0,1.0,H,2012-2013,3.0
Swansea City,West Bromwich Albion,3.0,1.0,H,2012-2013,4.0
Tottenham Hotspur,Liverpool,2.0,1.0,H,2012-2013,3.0
Manchester United,West Ham United,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Manchester City,0.0,2.0,A,2012-2013,2.0
West Ham United,Chelsea,3.0,1.0,H,2012-2013,4.0
Arsenal,Swansea City,0.0,2.0,A,2012-2013,2.0
Fulham,Tottenham Hotspur,0.0,3.0,A,2012-2013,3.0
Liverpool,Southampton,1.0,0.0,H,2012-2013,1.0
Manchester City,Everton,1.0,1.0,D,2012-2013,2.0
Queens Park Rangers,Aston Villa,1.0,1.0,D,2012-2013,2.0
West Bromwich Albion,Stoke City,0.0,1.0,A,2012-2013,1.0
Reading,Manchester United,3.0,4.0,A,2012-2013,7.0
Norwich City,Sunderland,2.0,1.0,H,2012-2013,3.0
Newcastle United,Wigan Athletic,3.0,0.0,H,2012-2013,3.0
Arsenal,West Bromwich Albion,2.0,0.0,H,2012-2013,2.0
Aston Villa,Stoke City,0.0,0.0,D,2012-2013,0.0
Southampton,Reading,1.0,0.0,H,2012-2013,1.0
Sunderland,Chelsea,1.0,3.0,A,2012-2013,4.0
Swansea City,Norwich City,3.0,4.0,A,2012-2013,7.0
Wigan Athletic,Queens Park Rangers,2.0,2.0,D,2012-2013,4.0
Manchester City,Manchester United,2.0,3.0,A,2012-2013,5.0
Everton,Tottenham Hotspur,2.0,1.0,H,2012-2013,3.0
West Ham United,Liverpool,2.0,3.0,A,2012-2013,5.0
Fulham,Newcastle United,2.0,1.0,H,2012-2013,3.0
Sunderland,Reading,3.0,0.0,H,2012-2013,3.0
Newcastle United,Manchester City,1.0,3.0,A,2012-2013,4.0
Liverpool,Aston Villa,1.0,3.0,A,2012-2013,4.0
Manchester United,Sunderland,3.0,1.0,H,2012-2013,4.0
Norwich City,Wigan Athletic,2.0,1.0,H,2012-2013,3.0
Queens Park Rangers,Fulham,2.0,1.0,H,2012-2013,3.0
Stoke City,Everton,1.0,1.0,D,2012-2013,2.0
Tottenham Hotspur,Swansea City,1.0,0.0,H,2012-2013,1.0
West Bromwich Albion,West Ham United,0.0,0.0,D,2012-2013,0.0
Reading,Arsenal,2.0,5.0,A,2012-2013,7.0
Wigan Athletic,Arsenal,0.0,1.0,A,2012-2013,1.0
Manchester City,Reading,1.0,0.0,H,2012-2013,1.0
Newcastle United,Queens Park Rangers,1.0,0.0,H,2012-2013,1.0
Southampton,Sunderland,0.0,1.0,A,2012-2013,1.0
Tottenham Hotspur,Stoke City,0.0,0.0,D,2012-2013,0.0
West Bromwich Albion,Norwich City,2.0,1.0,H,2012-2013,3.0
West Ham United,Everton,1.0,2.0,A,2012-2013,3.0
Liverpool,Fulham,4.0,0.0,H,2012-2013,4.0
Swansea City,Manchester United,1.0,1.0,D,2012-2013,2.0
Chelsea,Aston Villa,8.0,0.0,H,2012-2013,8.0
Everton,Wigan Athletic,2.0,1.0,H,2012-2013,3.0
Fulham,Southampton,1.0,1.0,D,2012-2013,2.0
Manchester United,Newcastle United,4.0,3.0,H,2012-2013,7.0
Norwich City,Chelsea,0.0,1.0,A,2012-2013,1.0
Queens Park Rangers,West Bromwich Albion,1.0,2.0,A,2012-2013,3.0
Reading,Swansea City,0.0,0.0,D,2012-2013,0.0
Sunderland,Manchester City,1.0,0.0,H,2012-2013,1.0
Aston Villa,Tottenham Hotspur,0.0,4.0,A,2012-2013,4.0
Stoke City,Liverpool,3.0,1.0,H,2012-2013,4.0
Sunderland,Tottenham Hotspur,1.0,2.0,A,2012-2013,3.0
Aston Villa,Wigan Athletic,0.0,3.0,A,2012-2013,3.0
Fulham,Swansea City,1.0,2.0,A,2012-2013,3.0
Manchester United,West Bromwich Albion,2.0,0.0,H,2012-2013,2.0
Norwich City,Manchester City,3.0,4.0,A,2012-2013,7.0
Reading,West Ham United,1.0,0.0,H,2012-2013,1.0
Stoke City,Southampton,3.0,3.0,D,2012-2013,6.0
Arsenal,Newcastle United,7.0,3.0,H,2012-2013,10.0
Everton,Chelsea,1.0,2.0,A,2012-2013,3.0
Queens Park Rangers,Liverpool,0.0,3.0,A,2012-2013,3.0
West Bromwich Albion,Fulham,1.0,2.0,A,2012-2013,3.0
Manchester City,Stoke City,3.0,0.0,H,2012-2013,3.0
Swansea City,Aston Villa,2.0,2.0,D,2012-2013,4.0
Tottenham Hotspur,Reading,3.0,1.0,H,2012-2013,4.0
West Ham United,Norwich City,2.0,1.0,H,2012-2013,3.0
Wigan Athletic,Manchester United,0.0,4.0,A,2012-2013,4.0
Southampton,Arsenal,1.0,1.0,D,2012-2013,2.0
Chelsea,Queens Park Rangers,0.0,1.0,A,2012-2013,1.0
Liverpool,Sunderland,3.0,0.0,H,2012-2013,3.0
Newcastle United,Everton,1.0,2.0,A,2012-2013,3.0
Queens Park Rangers,Tottenham Hotspur,0.0,0.0,D,2012-2013,0.0
Aston Villa,Southampton,0.0,1.0,A,2012-2013,1.0
Everton,Swansea City,0.0,0.0,D,2012-2013,0.0
Fulham,Wigan Athletic,1.0,1.0,D,2012-2013,2.0
Norwich City,Newcastle United,0.0,0.0,D,2012-2013,0.0
Reading,West Bromwich Albion,3.0,2.0,H,2012-2013,5.0
Stoke City,Chelsea,0.0,4.0,A,2012-2013,4.0
Sunderland,West Ham United,3.0,0.0,H,2012-2013,3.0
Manchester United,Liverpool,2.0,1.0,H,2012-2013,3.0
Arsenal,Manchester City,0.0,2.0,A,2012-2013,2.0
Chelsea,Southampton,2.0,2.0,D,2012-2013,4.0
Liverpool,Norwich City,5.0,0.0,H,2012-2013,5.0
Manchester City,Fulham,2.0,0.0,H,2012-2013,2.0
Newcastle United,Reading,1.0,2.0,A,2012-2013,3.0
Swansea City,Stoke City,3.0,1.0,H,2012-2013,4.0
West Ham United,Queens Park Rangers,1.0,1.0,D,2012-2013,2.0
Wigan Athletic,Sunderland,2.0,3.0,A,2012-2013,5.0
West Bromwich Albion,Aston Villa,2.0,2.0,D,2012-2013,4.0
Chelsea,Arsenal,2.0,1.0,H,2012-2013,3.0
Tottenham Hotspur,Manchester United,1.0,1.0,D,2012-2013,2.0
Southampton,Everton,0.0,0.0,D,2012-2013,0.0
Arsenal,West Ham United,5.0,1.0,H,2012-2013,6.0
Aston Villa,Newcastle United,1.0,2.0,A,2012-2013,3.0
Queens Park Rangers,Manchester City,0.0,0.0,D,2012-2013,0.0
Stoke City,Wigan Athletic,2.0,2.0,D,2012-2013,4.0
Sunderland,Swansea City,0.0,0.0,D,2012-2013,0.0
Arsenal,Liverpool,2.0,2.0,D,2012-2013,4.0
Everton,West Bromwich Albion,2.0,1.0,H,2012-2013,3.0
Norwich City,Tottenham Hotspur,1.0,1.0,D,2012-2013,2.0
Fulham,West Ham United,3.0,1.0,H,2012-2013,4.0
Manchester United,Southampton,2.0,1.0,H,2012-2013,3.0
Reading,Chelsea,2.0,2.0,D,2012-2013,4.0
Queens Park Rangers,Norwich City,0.0,0.0,D,2012-2013,0.0
Arsenal,Stoke City,1.0,0.0,H,2012-2013,1.0
Everton,Aston Villa,3.0,3.0,D,2012-2013,6.0
Newcastle United,Chelsea,3.0,2.0,H,2012-2013,5.0
Reading,Sunderland,2.0,1.0,H,2012-2013,3.0
West Ham United,Swansea City,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Southampton,2.0,2.0,D,2012-2013,4.0
Fulham,Manchester United,0.0,1.0,A,2012-2013,1.0
West Bromwich Albion,Tottenham Hotspur,0.0,1.0,A,2012-2013,1.0
Manchester City,Liverpool,2.0,2.0,D,2012-2013,4.0
Tottenham Hotspur,Newcastle United,2.0,1.0,H,2012-2013,3.0
Chelsea,Wigan Athletic,4.0,1.0,H,2012-2013,5.0
Norwich City,Fulham,0.0,0.0,D,2012-2013,0.0
Stoke City,Reading,2.0,1.0,H,2012-2013,3.0
Sunderland,Arsenal,0.0,1.0,A,2012-2013,1.0
Swansea City,Queens Park Rangers,4.0,1.0,H,2012-2013,5.0
Southampton,Manchester City,3.0,1.0,H,2012-2013,4.0
Aston Villa,West Ham United,2.0,1.0,H,2012-2013,3.0
Manchester United,Everton,2.0,0.0,H,2012-2013,2.0
Liverpool,West Bromwich Albion,0.0,2.0,A,2012-2013,2.0
Liverpool,Swansea City,5.0,0.0,H,2012-2013,5.0
Fulham,Stoke City,1.0,0.0,H,2012-2013,1.0
Arsenal,Aston Villa,2.0,1.0,H,2012-2013,3.0
Norwich City,Everton,2.0,1.0,H,2012-2013,3.0
Queens Park Rangers,Manchester United,0.0,2.0,A,2012-2013,2.0
Reading,Wigan Athletic,0.0,3.0,A,2012-2013,3.0
West Bromwich Albion,Sunderland,2.0,1.0,H,2012-2013,3.0
Manchester City,Chelsea,2.0,0.0,H,2012-2013,2.0
Newcastle United,Southampton,4.0,2.0,H,2012-2013,6.0
West Ham United,Tottenham Hotspur,2.0,3.0,A,2012-2013,5.0
Chelsea,West Bromwich Albion,1.0,0.0,H,2012-2013,1.0
Everton,Reading,3.0,1.0,H,2012-2013,4.0
Manchester United,Norwich City,4.0,0.0,H,2012-2013,4.0
Southampton,Queens Park Rangers,1.0,2.0,A,2012-2013,3.0
Stoke City,West Ham United,0.0,1.0,A,2012-2013,1.0
Sunderland,Fulham,2.0,2.0,D,2012-2013,4.0
Swansea City,Newcastle United,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Liverpool,0.0,4.0,A,2012-2013,4.0
Tottenham Hotspur,Arsenal,2.0,1.0,H,2012-2013,3.0
Aston Villa,Manchester City,0.0,1.0,A,2012-2013,1.0
Norwich City,Southampton,0.0,0.0,D,2012-2013,0.0
Queens Park Rangers,Sunderland,3.0,1.0,H,2012-2013,4.0
Reading,Aston Villa,1.0,2.0,A,2012-2013,3.0
West Bromwich Albion,Swansea City,2.0,1.0,H,2012-2013,3.0
Newcastle United,Stoke City,2.0,1.0,H,2012-2013,3.0
Liverpool,Tottenham Hotspur,3.0,2.0,H,2012-2013,5.0
Everton,Manchester City,2.0,0.0,H,2012-2013,2.0
Aston Villa,Queens Park Rangers,3.0,2.0,H,2012-2013,5.0
Southampton,Liverpool,3.0,1.0,H,2012-2013,4.0
Stoke City,West Bromwich Albion,0.0,0.0,D,2012-2013,0.0
Swansea City,Arsenal,0.0,2.0,A,2012-2013,2.0
Manchester United,Reading,1.0,0.0,H,2012-2013,1.0
Sunderland,Norwich City,1.0,1.0,D,2012-2013,2.0
Tottenham Hotspur,Fulham,0.0,1.0,A,2012-2013,1.0
Chelsea,West Ham United,2.0,0.0,H,2012-2013,2.0
Wigan Athletic,Newcastle United,2.0,1.0,H,2012-2013,3.0
Sunderland,Manchester United,0.0,1.0,A,2012-2013,1.0
Arsenal,Reading,4.0,1.0,H,2012-2013,5.0
Manchester City,Newcastle United,4.0,0.0,H,2012-2013,4.0
Southampton,Chelsea,2.0,1.0,H,2012-2013,3.0
Swansea City,Tottenham Hotspur,1.0,2.0,A,2012-2013,3.0
West Ham United,West Bromwich Albion,3.0,1.0,H,2012-2013,4.0
Wigan Athletic,Norwich City,1.0,0.0,H,2012-2013,1.0
Everton,Stoke City,1.0,0.0,H,2012-2013,1.0
Aston Villa,Liverpool,1.0,2.0,A,2012-2013,3.0
Fulham,Queens Park Rangers,3.0,2.0,H,2012-2013,5.0
Reading,Southampton,0.0,2.0,A,2012-2013,2.0
Norwich City,Swansea City,2.0,2.0,D,2012-2013,4.0
Stoke City,Aston Villa,1.0,3.0,A,2012-2013,4.0
West Bromwich Albion,Arsenal,1.0,2.0,A,2012-2013,3.0
Liverpool,West Ham United,0.0,0.0,D,2012-2013,0.0
Tottenham Hotspur,Everton,2.0,2.0,D,2012-2013,4.0
Chelsea,Sunderland,2.0,1.0,H,2012-2013,3.0
Newcastle United,Fulham,1.0,0.0,H,2012-2013,1.0
Queens Park Rangers,Wigan Athletic,1.0,1.0,D,2012-2013,2.0
Manchester United,Manchester City,1.0,2.0,A,2012-2013,3.0
Arsenal,Norwich City,3.0,1.0,H,2012-2013,4.0
Aston Villa,Fulham,1.0,1.0,D,2012-2013,2.0
Everton,Queens Park Rangers,2.0,0.0,H,2012-2013,2.0
Reading,Liverpool,0.0,0.0,D,2012-2013,0.0
Southampton,West Ham United,1.0,1.0,D,2012-2013,2.0
Newcastle United,Sunderland,0.0,3.0,A,2012-2013,3.0
Stoke City,Manchester United,0.0,2.0,A,2012-2013,2.0
Arsenal,Everton,0.0,0.0,D,2012-2013,0.0
Manchester City,Wigan Athletic,1.0,0.0,H,2012-2013,1.0
West Ham United,Manchester United,2.0,2.0,D,2012-2013,4.0
Fulham,Chelsea,0.0,3.0,A,2012-2013,3.0
Fulham,Arsenal,0.0,1.0,A,2012-2013,1.0
Norwich City,Reading,2.0,1.0,H,2012-2013,3.0
Queens Park Rangers,Stoke City,0.0,2.0,A,2012-2013,2.0
Sunderland,Everton,1.0,0.0,H,2012-2013,1.0
Swansea City,Southampton,0.0,0.0,D,2012-2013,0.0
West Bromwich Albion,Newcastle United,1.0,1.0,D,2012-2013,2.0
West Ham United,Wigan Athletic,2.0,0.0,H,2012-2013,2.0
Tottenham Hotspur,Manchester City,3.0,1.0,H,2012-2013,4.0
Liverpool,Chelsea,2.0,2.0,D,2012-2013,4.0
Manchester United,Aston Villa,3.0,0.0,H,2012-2013,3.0
Manchester City,West Ham United,2.0,1.0,H,2012-2013,3.0
Everton,Fulham,1.0,0.0,H,2012-2013,1.0
Southampton,West Bromwich Albion,0.0,3.0,A,2012-2013,3.0
Stoke City,Norwich City,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Tottenham Hotspur,2.0,2.0,D,2012-2013,4.0
Newcastle United,Liverpool,0.0,6.0,A,2012-2013,6.0
Reading,Queens Park Rangers,0.0,0.0,D,2012-2013,0.0
Chelsea,Swansea City,2.0,0.0,H,2012-2013,2.0
Arsenal,Manchester United,1.0,1.0,D,2012-2013,2.0
Aston Villa,Sunderland,6.0,1.0,H,2012-2013,7.0
Fulham,Reading,2.0,4.0,A,2012-2013,6.0
Norwich City,Aston Villa,1.0,2.0,A,2012-2013,3.0
Swansea City,Manchester City,0.0,0.0,D,2012-2013,0.0
Tottenham Hotspur,Southampton,1.0,0.0,H,2012-2013,1.0
West Bromwich Albion,Wigan Athletic,2.0,3.0,A,2012-2013,5.0
West Ham United,Newcastle United,0.0,0.0,D,2012-2013,0.0
Queens Park Rangers,Arsenal,0.0,1.0,A,2012-2013,1.0
Liverpool,Everton,0.0,0.0,D,2012-2013,0.0
Manchester United,Chelsea,0.0,1.0,A,2012-2013,1.0
Sunderland,Stoke City,1.0,1.0,D,2012-2013,2.0
Manchester City,West Bromwich Albion,1.0,0.0,H,2012-2013,1.0
Wigan Athletic,Swansea City,2.0,3.0,A,2012-2013,5.0
Chelsea,Tottenham Hotspur,2.0,2.0,D,2012-2013,4.0
Aston Villa,Chelsea,1.0,2.0,A,2012-2013,3.0
Stoke City,Tottenham Hotspur,1.0,2.0,A,2012-2013,3.0
Everton,West Ham United,2.0,0.0,H,2012-2013,2.0
Fulham,Liverpool,1.0,3.0,A,2012-2013,4.0
Norwich City,West Bromwich Albion,4.0,0.0,H,2012-2013,4.0
Queens Park Rangers,Newcastle United,1.0,2.0,A,2012-2013,3.0
Sunderland,Southampton,1.0,1.0,D,2012-2013,2.0
Manchester United,Swansea City,2.0,1.0,H,2012-2013,3.0
Arsenal,Wigan Athletic,4.0,1.0,H,2012-2013,5.0
Reading,Manchester City,0.0,2.0,A,2012-2013,2.0
Chelsea,Everton,2.0,1.0,H,2012-2013,3.0
Liverpool,Queens Park Rangers,1.0,0.0,H,2012-2013,1.0
Manchester City,Norwich City,2.0,3.0,A,2012-2013,5.0
Newcastle United,Arsenal,0.0,1.0,A,2012-2013,1.0
Southampton,Stoke City,1.0,1.0,D,2012-2013,2.0
Swansea City,Fulham,0.0,3.0,A,2012-2013,3.0
Tottenham Hotspur,Sunderland,1.0,0.0,H,2012-2013,1.0
West Bromwich Albion,Manchester United,5.0,5.0,D,2012-2013,10.0
West Ham United,Reading,4.0,2.0,H,2012-2013,6.0
Wigan Athletic,Aston Villa,2.0,2.0,D,2012-2013,4.0
